Model,RMSE,MAE,MAPE (%),R² Score
Gradient Boosting,0.37479282056488944,0.29206562043959783,0.3746348685394264,0.9957851602477619
XGBoost,0.5600750000545778,0.3924005277138058,0.4969591552400229,0.9905878049938633
Random Forest,0.5959864641550178,0.4356682508436435,0.5570663342565237,0.989342107537448
Linear Regression,1.261470647921712,1.042366352479145,1.3453435648612595,0.9522522577496794
SVR,10.638722375701704,8.710023270542786,11.225868173740833,-2.3960767221801382
